Annee;Parc installé éolien (MW);Parc installé solaire (MW)
2023;23304.62885;19385.35026799878
2002;129.0;0.0
2007;2250.0;7.0
2009;4573.0;190.0
2004;393.0;0.0
2017;13508.8149;7644.826380001999
2024;24365.38527;24350.1502599981
2016;11794.833;6788.445
2013;8157.0;4366.0
2018;15067.5319;8562.064136536
2006;1502.0;4.0
2019;16458.6633;9488.916112747
2020;17548.1508;10355.8488314283
2003;219.0;0.0
2005;752.0;0.0
2011;6714.0;2584.0
2001;94.0;0.0
2008;3327.0;61.0
2012;7536.0;3727.0
2014;9303.2916;5301.1651
2015;10313.627;6207.924
2021;18852.3904;13086.9414267733
2010;5762.0;878.0
2022;21047.38995;16058.50272099929
